,,,,,,,,Producer/Merchant/Processor/User - All - Long ,Producer/Merchant/Processor/User - All - Short,Swap Dealers – All - Long,Swap Dealers – All – Short,,Managed Money - All - Long,Managed Money - All - Short,,Other Reportables - All - Long,Other Reportables - All - Short,,,,Nonreportable Positions – Long,Nonreportable Positions – Short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190
WHEAT-SRW - CHICAGO BOARD OF TRADE,210803,2021-08-03,1602,CBT ,0,1,373529,29258,110429,90228,37260,15653,79402,66958,59904,40114,11581,29942,344501,331727,29028,41802,339093,26487,99812,85474,35425,11464,70861,67152,53110,40385,11775,26677,314458,305415,24635,33678,34436,2771,10617,7618,4699,1325,11814,3079,3521,1320,1397,1674,30043,26312,4393,8124,25407,-89,9224,-312,1619,4100,10150,-2115,5473,3008,4484,780,23110,23565,2297,1842,100,7.8,29.6,24.2,10,4.2,21.3,17.9,16,10.7,3.1,8,92.2,88.8,7.8,11.2,100,7.8,29.4,25.2,10.4,3.4,20.9,19.8,15.7,11.9,3.5,7.9,92.7,90.1,7.3,9.9,100,8,30.8,22.1,13.6,3.8,34.3,8.9,10.2,3.8,4.1,4.9,87.2,76.4,12.8,23.6,343,51,86,20,12,16,72,45,67,46,32,46,248,259,341,49,86,19,13,14,71,46,63,46,35,38,237,252,131,12,54,11,10,6,13,7,8,13,17,8,64,97,15.5,14.2,25.9,22,15.2,13.5,23.9,20.5,16.5,15.7,27.4,23.3,16.5,14.5,25.3,21.9,37.9,23.7,53.2,38.1,34.8,21.7,47.6,30.3,"(CONTRACTS OF 5,000 BUSHELS)",1602,CBT ,1,A10,FutOnly
BLACK SEA WHEAT FINANCIAL - CHICAGO BOARD OF TRADE,210803,2021-08-03,00160F,CBT ,0,1,23042,8720,20296,3598,600,0,8953,0,0,100,657,741,22112,22294,930,748,23042,8720,20296,3598,600,0,8953,0,0,100,657,741,22112,22294,930,748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-975,-299,-275,-597,0,-250,355,0,-100,-340,-730,90,-1141,-1265,166,290,100,37.8,88.1,15.6,2.6,0,38.9,0,0,0.4,2.9,3.2,96,96.8,4,3.2,100,37.8,88.1,15.6,2.6,0,38.9,0,0,0.4,2.9,3.2,96,96.8,4,3.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,15,.,.,0,5,0,0,.,.,.,15,19,25,6,15,.,.,0,5,0,0,.,.,.,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.1,55.7,91.3,77.4,73.5,42.8,76.6,62.7,76.1,55.7,91.3,77.4,73.5,42.8,76.6,62.7,0,0,0,0,0,0,0,0,50 Metric Tons,00160F,CBT ,1,A10,FutOnly
WHEAT-HRW - CHICAGO BOARD OF TRADE,210803,2021-08-03,1612,CBT ,0,1,225807,32934,114356,52947,6218,3608,59967,22862,34045,9518,10067,14249,207268,205405,18539,20402,215592,30932,111371,52050,5986,3394,58666,23042,31907,9115,10095,12659,198723,198454,16869,17138,10215,2002,2985,1110,445,1,2360,879,1079,1031,600,962,8545,6951,1670,3264,11870,1454,7504,-433,-569,-626,5821,-390,3237,68,117,1729,11250,11002,620,868,100,14.6,50.6,23.4,2.8,1.6,26.6,10.1,15.1,4.2,4.5,6.3,91.8,91,8.2,9,100,14.3,51.7,24.1,2.8,1.6,27.2,10.7,14.8,4.2,4.7,5.9,92.2,92.1,7.8,7.9,100,19.6,29.2,10.9,4.4,0,23.1,8.6,10.6,10.1,5.9,9.4,83.7,68,16.3,32,241,53,75,18,6,10,51,21,38,21,20,27,178,172,240,53,75,18,6,9,49,24,38,22,21,25,176,170,97,8,47,7,4,.,10,4,.,5,13,8,36,74,15.4,24.2,25.9,35.6,14.6,19.3,23.3,29.7,15.9,24.6,26.8,36.3,15.1,20.1,24.2,30.6,34.3,26.1,52,38,28,15,43.5,22.7,"(CONTRACTS OF 5,000 BUSHELS)",1612,CBT ,1,A10,FutOnly
WHEAT-HRSpring - MINNEAPOLIS GRAIN EXCHANGE,210803,2021-08-03,1626,MGE ,0,1,81057,28443,56164,3900,800,540,11111,933,5557,5279,1723,2746,57576,68463,23481,12594,79797,27685,55478,3805,800,540,11111,933,5557,5279,1662,2721,56698,67691,23099,12106,1260,758,686,95,0,0,0,0,0,10,71,15,878,772,382,488,1437,1069,2281,-39,270,2,1126,-726,-603,616,-787,-68,2103,369,-666,1068,100,35.1,69.3,4.8,1,0.7,13.7,1.2,6.9,6.5,2.1,3.4,71,84.5,29,15.5,100,34.7,69.5,4.8,1,0.7,13.9,1.2,7,6.6,2.1,3.4,71.1,84.8,28.9,15.2,100,60.2,54.4,7.5,0,0,0,0,0,0.8,5.6,1.2,69.7,61.3,30.3,38.7,116,51,43,5,.,.,19,.,5,16,7,11,99,66,116,49,43,5,.,.,19,.,5,15,7,11,97,66,32,12,18,.,0,0,0,0,0,.,.,.,17,21,17.9,27.3,26.4,47.3,9.6,26.1,16.5,39.6,18.1,27.4,26.7,47.5,9.7,26.2,16.8,40,44,38.7,59.7,51.2,43.1,38.7,58.6,50.6,"(CONTRACTS OF 5,000 BUSHELS)",1626,MGE ,1,A10,FutOnly
CORN - CHICAGO BOARD OF TRADE,210803,2021-08-03,2602,CBT ,0,2,1471063,384598,898775,296324,34051,20350,272018,29341,151731,132841,57475,89482,1347344,1281205,123719,189858,359615,60671,185006,146339,4965,78,96610,81799,2044,28973,55982,20,334735,329894,24880,29721,1111448,323927,713769,154802,33903,15455,253714,25848,71381,160536,58161,32794,1012609,951311,98839,160137,4397,-8766,-8402,-5474,-228,-883,15548,-1180,-9963,-4152,1210,18436,4746,-1010,-349,5407,100,26.1,61.1,20.1,2.3,1.4,18.5,2,10.3,9,3.9,6.1,91.6,87.1,8.4,12.9,100,16.9,51.4,40.7,1.4,0,26.9,22.7,0.6,8.1,15.6,0,93.1,91.7,6.9,8.3,100,29.1,64.2,13.9,3.1,1.4,22.8,2.3,6.4,14.4,5.2,3,91.1,85.6,8.9,14.4,784,280,362,29,9,21,92,23,67,74,78,87,571,577,595,143,261,24,11,.,46,36,15,54,62,.,277,377,755,233,346,25,10,16,91,19,41,82,69,62,485,522,16.2,12.7,25,20.8,15.9,12.2,23.5,19.8,24.5,20.1,35.6,33.2,24.5,20.1,35.6,33.2,18.3,12.9,27,20.6,17.6,12.5,25.3,19.8,"(CONTRACTS OF 5,000 BUSHELS)",2602,CBT ,2,A10,FutOnly
OATS - CHICAGO BOARD OF TRADE,210803,2021-08-03,4603,CBT ,0,4,4473,1099,2966,110,0,0,424,216,0,483,63,81,2197,3326,2276,1147,4457,1093,2961,110,0,0,424,216,0,483,63,81,2191,3321,2266,1136,16,6,5,0,0,0,0,0,0,0,0,0,6,5,10,11,-194,2,-385,-20,0,0,27,-6,0,-98,-69,16,-73,-444,-121,250,100,24.6,66.3,2.5,0,0,9.5,4.8,0,10.8,1.4,1.8,49.1,74.4,50.9,25.6,100,24.5,66.4,2.5,0,0,9.5,4.8,0,10.8,1.4,1.8,49.2,74.5,50.8,25.5,100,37.5,31.3,0,0,0,0,0,0,0,0,0,37.5,31.3,62.5,68.8,20,6,6,.,0,0,.,.,0,4,.,.,16,9,20,6,5,.,0,0,.,.,0,4,.,.,16,8,.,.,.,0,0,0,0,0,0,0,0,0,.,.,23.7,66.2,39.4,74.3,23.6,65.9,39.3,72.1,23.8,66.4,39.6,74.5,23.8,66.3,39.6,72.5,37.5,31.3,37.5,31.3,37.5,31.3,37.5,31.3,"(CONTRACTS OF 5,000 BUSHELS)",4603,CBT ,4,A10,FutOnly
SOYBEANS - CHICAGO BOARD OF TRADE,210803,2021-08-03,5602,CBT ,0,5,655874,187557,371930,122252,39746,15249,93406,20403,73255,88988,46188,28073,608780,594844,47094,61030,637333,181163,360214,119420,39363,15249,89469,20816,72285,88448,45444,26674,592708,580045,44625,57288,18541,6394,11716,2832,383,0,4869,519,38,1288,1492,651,16072,14799,2469,3742,-11693,-3612,-13074,955,-47,-518,-6759,8182,483,608,-4475,-1190,-10033,-10639,-1660,-1054,100,28.6,56.7,18.6,6.1,2.3,14.2,3.1,11.2,13.6,7,4.3,92.8,90.7,7.2,9.3,100,28.4,56.5,18.7,6.2,2.4,14,3.3,11.3,13.9,7.1,4.2,93,91,7,9,100,34.5,63.2,15.3,2.1,0,26.3,2.8,0.2,6.9,8,3.5,86.7,79.8,13.3,20.2,552,148,234,28,15,21,78,26,50,80,55,68,390,426,552,145,232,28,15,21,78,27,50,81,55,65,387,421,211,20,141,7,.,0,10,.,.,11,29,6,53,179,17.1,14.8,26.6,24,15.4,13,22.8,20.5,17.4,15,26.6,24.3,15.6,13.1,23.2,20.6,43.3,26,60.2,37.7,43.3,25.3,59.1,36.6,"(CONTRACTS OF 5,000 BUSHELS)",5602,CBT ,5,A30,FutOnly
MINI SOYBEANS - CHICAGO BOARD OF TRADE,210803,2021-08-03,5603,CBT ,0,5,24766,4,10133,0,0,0,0,0,0,16573,1377,315,16892,11825,7874,12941,22957,4,9131,0,0,0,0,0,0,15109,1361,315,15428,10807,7529,12150,1809,0,1002,0,0,0,0,0,0,1464,16,0,1464,1018,345,791,-247,-1,12,0,0,0,0,0,0,-173,19,42,-132,73,-115,-320,100,0,40.9,0,0,0,0,0,0,66.9,5.6,1.3,68.2,47.7,31.8,52.3,100,0,39.8,0,0,0,0,0,0,65.8,5.9,1.4,67.2,47.1,32.8,52.9,100,0,55.4,0,0,0,0,0,0,80.9,0.9,0,80.9,56.3,19.1,43.7,34,.,22,0,0,0,0,0,0,7,5,4,9,31,34,.,22,0,0,0,0,0,0,7,5,4,9,31,30,0,21,0,0,0,0,0,0,5,4,0,5,25,64.1,21.1,68.2,29.7,62.9,21.1,66.9,29.6,64.3,19.2,67.2,28.2,62.9,19.2,65.8,28.2,80.9,47.8,80.9,51.1,80.9,47.8,80.9,51.1,"(Contracts of 1,000 Bushels)",5603,CBT ,5,A30,FutOnly
CALIF CARBON VINTAGE 2020 - ICE FUTURES ENERGY DIV,210803,2021-08-03,0063CA,IFED,1,6,31605,18540,5447,10579,9483,285,1529,0,0,143,15881,500,31576,31596,29,9,31605,18540,5447,10579,9483,285,1529,0,0,143,15881,500,31576,31596,29,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-842,-299,-505,-325,-337,0,0,0,0,-232,6,-6,-862,-842,20,0,100,58.7,17.2,33.5,30,0.9,4.8,0,0,0.5,50.2,1.6,99.9,100,0.1,0,100,58.7,17.2,33.5,30,0.9,4.8,0,0,0.5,50.2,1.6,99.9,100,0.1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,10,8,4,4,.,.,0,0,.,7,5,23,21,34,10,8,4,4,.,.,0,0,.,7,5,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.5,63.9,84.4,82.5,62,63.9,77.7,80.7,67.5,63.9,84.4,82.5,62,63.9,77.7,80.7,0,0,0,0,0,0,0,0,"1,000 California carbon allowances",0063CA,IFED,6,N60,FutOnly
